CommunityDistrict,BreedName,BreedCount,BreedSum
103.0,Black Russian Terrier,1,2710
103.0,Bloodhound,1,2710
103.0,Bluetick Coonhound,3,2710
103.0,Border Collie,11,2710
103.0,Border Collie Crossbreed,2,2710
103.0,Border Terrier,6,2710
103.0,Boston Terrier,40,2710
103.0,Boxer,34,2710
103.0,Brittany,1,2710
103.0,Brittany Spaniel,1,2710
103.0,Brussels Griffon,18,2710
103.0,"Bull Dog, English",30,2710
103.0,"Bull Dog, French",26,2710
103.0,Bull Terrier,8,2710
103.0,Bulldog,6,2710
103.0,Cairn Terrier,8,2710
103.0,Cane Corso,1,2710
103.0,Cardigan Welsh Corgi,2,2710
103.0,Cavalier King Charles Spaniel,32,2710
103.0,Chesapeake Bay Retriever,1,2710
103.0,Chihuahua,180,2710
103.0,Chihuahua Crossbreed,36,2710
103.0,Chinese Shar-Pei,2,2710
103.0,Chow Chow,7,2710
103.0,Cocker Spaniel,28,2710
103.0,Cocker Spaniel Crossbreed,1,2710
103.0,Collie,1,2710
103.0,Collie Crossbreed,2,2710
103.0,"Collie, Border",10,2710
103.0,"Collie, Rough Coat",1,2710
103.0,"Collie, Smooth Coat",1,2710
103.0,"Coonhound, Black and Tan",1,2710
103.0,Cotton De Tulear,3,2710
103.0,Dachshund,20,2710
103.0,Dachshund Crossbreed,5,2710
103.0,Dachshund Smooth Coat,11,2710
103.0,Dachshund Smooth Coat Miniature,10,2710
103.0,"Dachshund, Long Haired",2,2710
103.0,"Dachshund, Long Haired Miniature",4,2710
103.0,"Dachshund, Wirehaired",5,2710
103.0,Doberman Pinscher,6,2710
103.0,Dutch Shepherd,1,2710
103.0,English Cocker Spaniel,3,2710
103.0,English Setter,1,2710
103.0,English Springer Spaniel,3,2710
103.0,Flat-Coated Retriever,1,2710
103.0,French Bulldog,44,2710
103.0,German Shepherd Crossbreed,38,2710
103.0,German Shepherd Dog,17,2710
103.0,German Shorthaired Pointer,6,2710
103.0,Golden Retriever,33,2710
103.0,Goldendoodle,13,2710
103.0,Great Dane,4,2710
103.0,Great Pyrenees,1,2710
103.0,Greyhound,3,2710
103.0,Harrier,1,2710
103.0,Havanese,33,2710
103.0,Irish Terrier,3,2710
103.0,Irish Wolfhound,2,2710
103.0,Italian Greyhound,8,2710
103.0,Jack Russell Terrier,38,2710
103.0,Japanese Chin,3,2710
103.0,"Jindo Dog, Korea",1,2710
103.0,Keeshond,1,2710
103.0,Labradoodle,6,2710
103.0,Labrador Retriever,53,2710
103.0,Labrador Retriever Crossbreed,49,2710
103.0,Lhasa Apso,20,2710
103.0,Maltese,95,2710
103.0,Maltese Crossbreed,9,2710
103.0,Maltipoo,2,2710
103.0,Manchester Terrier,3,2710
103.0,"Mastiff, French (Dogue de Bordeaux)",1,2710
103.0,Miniature American Shepherd,6,2710
103.0,Miniature Pinscher,28,2710
103.0,Miniature Schnauzer,3,2710
103.0,Morkie,8,2710
103.0,Newfoundland,2,2710
103.0,Norfolk Terrier,5,2710
103.0,Old English Sheepdog,1,2710
103.0,Papillon,5,2710
103.0,Parson Russell Terrier,3,2710
103.0,Pekingese,14,2710
103.0,Pembroke Welsh Corgi,6,2710
103.0,Petit Basset Griffon Vendeen,1,2710
103.0,Pharoh hound,1,2710
103.0,Plott,4,2710
103.0,Pointer,1,2710
103.0,"Pointer, German Wirehaired",3,2710
103.0,Pomeranian,72,2710
103.0,Pomeranian Crossbreed,3,2710
103.0,Poodle,17,2710
103.0,Poodle Crossbreed,17,2710
103.0,"Poodle, Miniature",26,2710
103.0,"Poodle, Standard",16,2710
103.0,"Poodle, Toy",27,2710
103.0,Portuguese Water Dog,2,2710
103.0,Pug,30,2710
103.0,Puggle,18,2710
103.0,Rat Terrier,6,2710
103.0,Redbone Coonhound,1,2710
103.0,Rhodesian Ridgeback,5,2710
103.0,Rottweiler,5,2710
103.0,Samoyed,2,2710
103.0,Schipperke,1,2710
103.0,Schipperkee,3,2710
103.0,Schnauzer Crossbreed,5,2710
103.0,"Schnauzer, Miniature",20,2710
103.0,"Schnauzer, Standard",3,2710
103.0,Scottish Deerhound,2,2710
103.0,Scottish Terrier,3,2710
103.0,"Shar-Pei, Chinese",3,2710
103.0,Shetland Sheepdog,9,2710
103.0,Shiba Inu,55,2710
103.0,Shiba Inu Crossbreed,1,2710
103.0,Shih Tzu,145,2710
103.0,Shih Tzu Crossbreed,18,2710
103.0,Siberian Husky,28,2710
103.0,Siberian Husky Crossbreed,1,2710
103.0,Silky Terrier,9,2710
103.0,Soft Coated Wheaten Terrier,1,2710
103.0,Staffordshire Bull Terrier,7,2710
103.0,Terrier Crossbreed,11,2710
103.0,Terrier mix,25,2710
103.0,Tibetan Spaniel,1,2710
103.0,Tibetan Terrier,5,2710
103.0,Toy Fox Terrier,6,2710
103.0,Treeing Tennessee Brindle,1,2710
103.0,Unknown,372,2710
103.0,Vizsla,6,2710
103.0,"Welsh Corgi, Cardigan",3,2710
103.0,"Welsh Corgi, Pembroke",3,2710
103.0,Welsh Springer Spaniel,2,2710
103.0,West High White Terrier,10,2710
103.0,West Highland White Terrier,1,2710
103.0,Wheaton Terrier,9,2710
103.0,Whippet,2,2710
103.0,Yorkshire Terrier,188,2710
103.0,Yorkshire Terrier Crossbreed,14,2710
104.0,Affenpinscher,3,4503
104.0,Airedale Terrier,2,4503
104.0,Akita,2,4503
104.0,Akita Crossbreed,1,4503
104.0,Alaskan Malamute,1,4503
104.0,American Bully,3,4503
104.0,American English Coonhound,1,4503
104.0,American Eskimo dog,20,4503
104.0,American Foxhound,1,4503
104.0,American Pit Bull Mix / Pit Bull Mix,57,4503
104.0,American Pit Bull Terrier/Pit Bull,40,4503
104.0,American Staffordshire Terrier ,24,4503
104.0,Anatolian Shepherd Dog,1,4503
104.0,Australian Cattle Dog,2,4503
104.0,Australian Cattledog,7,4503
104.0,Australian Kelpie,1,4503
104.0,Australian Shepherd,51,4503
104.0,Australian Silky Terrier,4,4503
104.0,Australian Terrier,2,4503
104.0,Basenji,8,4503
104.0,Basset Hound,4,4503
104.0,Bassett Hound,8,4503
104.0,Beagle,63,4503
104.0,Beagle Crossbreed,30,4503
104.0,Bearded Collie,1,4503
104.0,Belgian Griffon,1,4503
104.0,Belgian Malinois,5,4503
104.0,Bernese Mountain Dog,6,4503
104.0,Bichon Frise,24,4503
104.0,Black and Tan Coonhound,1,4503
104.0,Border Collie,19,4503
104.0,Border Collie Crossbreed,1,4503
104.0,Border Terrier,14,4503
104.0,Boston Terrier,76,4503
104.0,Boxer,41,4503
104.0,Boxer Crossbreed,2,4503
104.0,Briard,1,4503
104.0,Brittany Spaniel,4,4503
104.0,Brussels Griffon,32,4503
104.0,"Bull Dog, English",58,4503
104.0,"Bull Dog, French",80,4503
104.0,Bull Terrier,9,4503
104.0,Bulldog,10,4503
104.0,Bullmastiff,1,4503
104.0,Cairn Terrier,36,4503
104.0,Cane Corso,3,4503
104.0,Cardigan Welsh Corgi,1,4503
104.0,Catahoula Leopard Dog,2,4503
104.0,Cavalier King Charles Spaniel,75,4503
104.0,Chesapeake Bay Retriever,2,4503
104.0,Chihuahua,249,4503
104.0,Chihuahua Crossbreed,46,4503
104.0,Chinese Crested,2,4503
104.0,Chinese Shar-Pei,2,4503
104.0,Chinook,1,4503
104.0,Chow Chow,13,4503
104.0,Clumber Spaniel,1,4503
104.0,Cocker Spaniel,57,4503
104.0,Collie,6,4503
104.0,Collie Crossbreed,11,4503
104.0,"Collie, Bearded ",1,4503
104.0,"Collie, Border",5,4503
104.0,"Collie, Rough Coat",1,4503
104.0,"Collie, Smooth Coat",1,4503
104.0,"Coonhound, Black and Tan",2,4503
104.0,"Coonhound, Treeing Walker",2,4503
104.0,Coton de Tulear,8,4503
104.0,Cotton De Tulear,4,4503
104.0,Dachshund,30,4503
104.0,Dachshund Crossbreed,7,4503
104.0,Dachshund Smooth Coat,26,4503
104.0,Dachshund Smooth Coat Miniature,36,4503
104.0,"Dachshund, Long Haired",10,4503
104.0,"Dachshund, Long Haired Miniature",13,4503
104.0,"Dachshund, Wirehaired",2,4503
104.0,"Dachshund, Wirehaired, Miniature",3,4503
104.0,Dalmatian,1,4503
104.0,Dandie Dinmont Terrier,1,4503
104.0,Doberman Pinscher,11,4503
104.0,English Cocker Spaniel,7,4503
104.0,English Setter,1,4503
104.0,English Springer Spaniel,2,4503
104.0,Field Spaniel,1,4503
104.0,Flat-Coated Retriever,2,4503
104.0,French Bulldog,147,4503
104.0,German Shepherd Crossbreed,45,4503
104.0,German Shepherd Dog,34,4503
104.0,German Spitz,1,4503
104.0,German Wirehaired Pointer,1,4503
104.0,Glen of Imaal Terrier,1,4503
